"root"	"name"	"type"	"files"	"bytes"	"gb"	"full_path"
"D:\finale"	"18_MemPro_V7.1_final_20260814"	"directory"	"66"	"602192992"	"0.561"	"D:\finale\18_MemPro_V7.1_final_20260814"
"D:\finale"	"14_MemPro_V7.0.1_rescue_candidate_20260814"	"directory"	"43"	"554174160"	"0.516"	"D:\finale\14_MemPro_V7.0.1_rescue_candidate_20260814"
"D:\finale"	"16_MemPro_V7.0.2_final_20260814"	"directory"	"41"	"542177304"	"0.505"	"D:\finale\16_MemPro_V7.0.2_final_20260814"
"D:\finale"	"13_MemPro_V7_final_data_release_20260813"	"directory"	"55"	"542041226"	"0.505"	"D:\finale\13_MemPro_V7_final_data_release_20260813"
"D:\finale"	"15_MemPro_V7.0.1_rescue_final_20260814"	"directory"	"37"	"540276517"	"0.503"	"D:\finale\15_MemPro_V7.0.1_rescue_final_20260814"
"D:\finale"	"11_MemPro_V7_automatic_data_release_20260813"	"directory"	"40"	"511320523"	"0.476"	"D:\finale\11_MemPro_V7_automatic_data_release_20260813"
"D:\finale"	"22_MemPro_V7.2_final_20260817"	"directory"	"44"	"446106034"	"0.415"	"D:\finale\22_MemPro_V7.2_final_20260817"
"D:\finale"	"21_MemPro_V7.2_candidate_20260817"	"directory"	"43"	"446105737"	"0.415"	"D:\finale\21_MemPro_V7.2_candidate_20260817"
"D:\finale"	"08_V6.4_database_freeze_and_figures_20260812"	"directory"	"101"	"383907083"	"0.358"	"D:\finale\08_V6.4_database_freeze_and_figures_20260812"
"D:\finale"	"10_MemPro_V7_public_candidate_20260812"	"directory"	"14"	"220228638"	"0.205"	"D:\finale\10_MemPro_V7_public_candidate_20260812"
"D:\finale"	"09_V6.4.1_final_publication_triage_20260812"	"directory"	"8"	"220217116"	"0.205"	"D:\finale\09_V6.4.1_final_publication_triage_20260812"
"D:\finale"	"10_MemPro_V7_data_freeze_20260813"	"directory"	"25"	"144874655"	"0.135"	"D:\finale\10_MemPro_V7_data_freeze_20260813"
"D:\finale"	"docking_rescore_20260811"	"directory"	"13"	"139305945"	"0.13"	"D:\finale\docking_rescore_20260811"
"D:\finale"	"03_V6.3.1_readiness_20260803"	"directory"	"137"	"38026265"	"0.035"	"D:\finale\03_V6.3.1_readiness_20260803"
"D:\finale"	"02_展示图表_V6.2"	"directory"	"90"	"33510479"	"0.031"	"D:\finale\02_展示图表_V6.2"
"D:\finale"	"03_Docking名单_V6.2"	"directory"	"7"	"24507899"	"0.023"	"D:\finale\03_Docking名单_V6.2"
"D:\finale"	"MemPro_V6.3.1_数据库建立流程与科学意义_M1-M8原图讲解终版.pptx"	"file"	"1"	"14757547"	"0.014"	"D:\finale\MemPro_V6.3.1_数据库建立流程与科学意义_M1-M8原图讲解终版.pptx"
"D:\finale"	"MemPro_V6.3.1_readiness_20260803.zip"	"file"	"1"	"14178573"	"0.013"	"D:\finale\MemPro_V6.3.1_readiness_20260803.zip"
"D:\finale"	"MemPro_V6.3.1_数据库建立流程与科学意义_M1-M8完整图版.pptx"	"file"	"1"	"12714165"	"0.012"	"D:\finale\MemPro_V6.3.1_数据库建立流程与科学意义_M1-M8完整图版.pptx"
"D:\finale"	"MemPro_V6.2_数据库建立流程与科学意义.pptx"	"file"	"1"	"12708048"	"0.012"	"D:\finale\MemPro_V6.2_数据库建立流程与科学意义.pptx"
"D:\finale"	"MemPro_V6.3.1_数据库建立流程与科学意义_更新版.pptx"	"file"	"1"	"7145370"	"0.007"	"D:\finale\MemPro_V6.3.1_数据库建立流程与科学意义_更新版.pptx"
"D:\finale"	"21_MemPro_V7.1.1_figures_20260814"	"directory"	"43"	"6039820"	"0.006"	"D:\finale\21_MemPro_V7.1.1_figures_20260814"
"D:\finale"	"MemPro_V6.3.1_数据库建立流程与科学意义_数据重绘一致版.pptx"	"file"	"1"	"5643882"	"0.005"	"D:\finale\MemPro_V6.3.1_数据库建立流程与科学意义_数据重绘一致版.pptx"
"D:\finale"	"MemPro_V6.3.1_数据库建立流程与科学意义_双页模块重制终版.pptx"	"file"	"1"	"4196660"	"0.004"	"D:\finale\MemPro_V6.3.1_数据库建立流程与科学意义_双页模块重制终版.pptx"
"D:\finale"	"MemPro_V6.3.1_双页模块PPT_逐页讲稿与图片详解_终版.docx"	"file"	"1"	"3195706"	"0.003"	"D:\finale\MemPro_V6.3.1_双页模块PPT_逐页讲稿与图片详解_终版.docx"
"D:\finale"	"05_V6.3.1_双页模块PPT重制_20260803"	"directory"	"34"	"2626299"	"0.002"	"D:\finale\05_V6.3.1_双页模块PPT重制_20260803"
"D:\finale"	"04_V6.3.1_isoform_accession_audit_20260803"	"directory"	"61"	"2586319"	"0.002"	"D:\finale\04_V6.3.1_isoform_accession_audit_20260803"
"D:\finale"	"MemPro_V6.2_数据库建立流程与科学意义"	"directory"	"18"	"2396154"	"0.002"	"D:\finale\MemPro_V6.2_数据库建立流程与科学意义"
"D:\finale"	"04_复现代码"	"directory"	"115"	"1534632"	"0.001"	"D:\finale\04_复现代码"
"D:\finale"	"05_质量控制"	"directory"	"26"	"116155"	"0"	"D:\finale\05_质量控制"
"D:\finale"	"MemPro_V6.2_数据库建立流程与科学意义.pptx.inspect.ndjson"	"file"	"1"	"62071"	"0"	"D:\finale\MemPro_V6.2_数据库建立流程与科学意义.pptx.inspect.ndjson"
"D:\finale"	"06_清单与哈希"	"directory"	"4"	"59873"	"0"	"D:\finale\06_清单与哈希"
"D:\finale"	"00_交接说明"	"directory"	"8"	"15984"	"0"	"D:\finale\00_交接说明"
"D:\finale"	"MemPro_V6.3.1_M1-M8逐图讲稿.txt"	"file"	"1"	"14929"	"0"	"D:\finale\MemPro_V6.3.1_M1-M8逐图讲稿.txt"
"D:\finale"	"README_先看这里.md"	"file"	"1"	"2294"	"0"	"D:\finale\README_先看这里.md"
